nomor,kode,nama,kelompok,tipe,Air (Water),Energi (Energy),Protein (Protein),Lemak (Fat),Karbohidrat (CHO),Abu (ASH),Kalsium (Ca),Fosfor (P),Besi (Fe),Natrium (Na),Kalium (K),Tembaga (Cu),Seng (Zn),Riboflavin (Vit. B2),Niasin (Niacin),Serat (Fibre),Retinol (Vit. A),Beta-Karoten (Carotenes),Karoten Total (Re),Thiamin (Vit. B1),Vitamin C (Vit. C)
666,DR117,"Kucai, segar (Chinese chives, fresh)",Sayuran,Mentah (Raw),86.3 g,45 Kal,2.2 g,0.3 g,10.3 g,0.9 g,52 mg,50 mg,1.1 mg,21 mg,439.5 mg,0.11 mg,0.5 mg,0.20 mg,1.8 mg,4.8 g,,"2,685 mcg",40 mcg,0.11 mg,17 mg
667,FR022,"Kuda, daging, segar (Horse, meat, fresh)",Daging,Mentah (Raw),76.0 g,113 Kal,18.1 g,4.1 g,0.9 g,0.9 g,10 mg,150 mg,2.7 mg,46 mg,315.7 mg,0.13 mg,2.5 mg,0.07 mg,3.0 mg,0.0 g,0 mcg,,,0.07 mg,0 mg
668,AP065,Kue ali,Serealia,Olahan (Processed),12.8 g,440 Kal,3.8 g,18.5 g,64.5 g,0.4 g,27 mg,47 mg,2.5 mg,,,,,0.09 mg,0.0 mg,0.3 g,0 mcg,,0 mcg,0.13 mg,0 mg
669,AP066,Kue bangen,Serealia,Olahan (Processed),5.6 g,442 Kal,3.3 g,14.7 g,74.2 g,2.2 g,,,,,,,,,,,,,,,
670,BP046,Kue bangket,Umbi Berpati,Olahan (Processed),16.1 g,338 Kal,1.5 g,1.2 g,80.3 g,0.9 g,34 mg,35 mg,0.3 mg,67 mg,0.0 mg,0.20 mg,0.2 mg,0.00 mg,0.0 mg,,0 mcg,0 mcg,0 mcg,0.30 mg,
671,AP067,Kue gelang,Serealia,Olahan (Processed),7.1 g,448 Kal,5.8 g,16.1 g,70.0 g,1.0 g,,,,,,,,,,,,,,,
672,AP068,Kue jahe,Serealia,Olahan (Processed),3.7 g,425 Kal,1.6 g,8.8 g,84.6 g,1.3 g,155 mg,61 mg,4.0 mg,,,,,,,1.2 g,,,0 mcg,0.20 mg,0 mg
673,AP069,Kue kelapa,Serealia,Olahan (Processed),3.3 g,591 Kal,5.6 g,42.1 g,47.5 g,1.5 g,32 mg,180 mg,1.6 mg,33 mg,443.0 mg,0.50 mg,1.1 mg,,,,,,,,
674,AP070,Kue koa,Serealia,Olahan (Processed),14.5 g,340 Kal,4.8 g,0.4 g,79.3 g,1.0 g,,,,,,,,,,,,,,,
675,AP071,Kue ku temu,Serealia,Olahan (Processed),46.2 g,214 Kal,3.5 g,0.2 g,49.6 g,0.5 g,,,,,,,,,,,,,,,
676,AP072,Kue lumpur,Serealia,Olahan (Processed),40.1 g,291 Kal,3.6 g,11.1 g,44.1 g,1.1 g,96 mg,60 mg,2.3 mg,,,,,,,,20 mcg,,400 mcg,0.24 mg,
677,AP073,Kue pelita,Serealia,Olahan (Processed),71.0 g,141 Kal,5.3 g,5.5 g,17.6 g,0.6 g,,,,,,,,,,,,,,,
678,AP074,Kue putu cangkir,Serealia,Olahan (Processed),32.6 g,304 Kal,5.3 g,7.0 g,54.9 g,0.2 g,18 mg,193 mg,4.0 mg,,,,,,,0.9 g,0 mcg,,0 mcg,0.06 mg,0 mg
679,BP047,Kue putu singkong,Umbi Berpati,Olahan (Processed),44.2 g,217 Kal,1.2 g,0.5 g,53.2 g,0.9 g,48 mg,68 mg,1.5 mg,3 mg,305.0 mg,,,0.10 mg,0.8 mg,2.4 g,,0 mcg,0 mcg,0.10 mg,
680,AP075,Kue sus,Serealia,Olahan (Processed),56.6 g,221 Kal,7.5 g,10.2 g,24.8 g,0.9 g,105 mg,85 mg,2.5 mg,,,,,,,,26 mcg,,"1,300 mcg",0.12 mg,0 mg
681,AP076,Kue timphan,Serealia,Olahan (Processed),43.0 g,247 Kal,2.9 g,4.2 g,49.5 g,0.4 g,16 mg,107 mg,1.8 mg,95 mg,56.0 mg,1.30 mg,0.8 mg,,,,,,,0.17 mg,
682,DR119,"Kulit melinjo (spanish joint fir, peel, fresh )",Sayuran,Mentah (Raw),71.9 g,111 Kal,4.5 g,1.1 g,20.7 g,1.8 g,117 mg,179 mg,2.6 mg,,,,,,,5.0 g,0 mcg,,"1,267 mcg",0.07 mg,7 mg
683,DR120,"Kundur, segar (Wax gourd, fresh)",Sayuran,Mentah (Raw),94.0 g,22 Kal,0.4 g,0.2 g,4.7 g,0.7 g,3 mg,54 mg,0.5 mg,2 mg,200.0 mg,0.10 mg,0.3 mg,0.03 mg,0.4 mg,1.3 g,,7 mcg,,0.10 mg,1 mg
684,NR022,"Kunyit, segar (Turmeric)",Bumbu,Mentah (Raw),84.9 g,69 Kal,2.0 g,2.7 g,9.1 g,1.3 g,24 mg,78 mg,3.3 mg,6 mg,406.7 mg,0.05 mg,0.4 mg,0.02 mg,0.4 mg,0.6 g,,12 mcg,,0.03 mg,1 mg
685,GR076,"Kura-kura, segar (Turtles, fresh)",Ikan/Kerang/Udang dll,Mentah (Raw),80.0 g,83 Kal,19.1 g,0.2 g,0.0 g,0.7 g,27 mg,87 mg,0.7 mg,,,,,,,0.0 g,0 mcg,,,0.20 mg,0 mg
686,GR077,"Kuro, segar (Threadfin, fresh)",Ikan/Kerang/Udang dll,Mentah (Raw),79.9 g,87 Kal,16.0 g,2.2 g,1.0 g,0.9 g,75 mg,136 mg,1.0 mg,,,,,,,0.0 g,6 mcg,,0 mcg,0.04 mg,0 mg
687,CP046,Kwaci,Kacang-Kacangan,Olahan (Processed),9.9 g,515 Kal,30.6 g,42.1 g,13.8 g,3.7 g,54 mg,312 mg,6.2 mg,124 mg,448.6 mg,0.65 mg,9.7 mg,0.19 mg,0.3 mg,13.6 g,0 mcg,,,0.02 mg,0 mg
688,JP004,Kwark (Quark),Susu,Olahan (Processed),59.0 g,242 Kal,19.0 g,17.0 g,3.0 g,2.0 g,300 mg,350 mg,0.5 mg,37 mg,72.7 mg,0.01 mg,0.2 mg,0.38 mg,0.0 mg,0.0 g,173 mcg,0 mcg,,0.03 mg,
689,DR121,"Labu air, segar (Bottle gourd, fresh)",Sayuran,Mentah (Raw),95.0 g,19 Kal,0.6 g,0.2 g,3.8 g,0.4 g,12 mg,18 mg,0.6 mg,2 mg,168.2 mg,0.03 mg,0.8 mg,0.02 mg,0.4 mg,0.6 g,,11 mcg,70 mcg,0.04 mg,10 mg
690,DR122,"Labu kuning, segar (Pumpkin, fresh)",Sayuran,Mentah (Raw),86.6 g,51 Kal,1.7 g,0.5 g,10.0 g,1.2 g,40 mg,180 mg,0.7 mg,280 mg,220.0 mg,0.35 mg,1.5 mg,0.00 mg,0.1 mg,2.7 g,,"1,569 mcg",,0.20 mg,2 mg
691,DR123,"Labu siam, segar (Chayote, fresh)",Sayuran,Mentah (Raw),92.3 g,30 Kal,0.6 g,0.1 g,6.7 g,0.3 g,14 mg,25 mg,0.5 mg,3 mg,167.1 mg,0.16 mg,1.0 mg,0.00 mg,0.6 mg,6.2 g,,48 mcg,20 mcg,0.02 mg,18 mg
692,DR124,"Labu waluh, segar (Pumpkin, fresh)",Sayuran,Mentah (Raw),91.2 g,32 Kal,1.1 g,0.1 g,6.6 g,1.0 g,45 mg,64 mg,1.4 mg,1 mg,356.2 mg,0.13 mg,0.3 mg,0.12 mg,0.6 mg,0.5 g,,712 mcg,180 mcg,0.08 mg,52 mg
693,AP077,Laksa/Putu mayang,Serealia,Olahan (Processed),73.2 g,121 Kal,1.7 g,3.4 g,21.1 g,0.6 g,,,,,,,,,,,,,,,
694,CR046,"Lamtoro biji, muda, segar (White leadtree, inmature, fresh)",Kacang-Kacangan,Mentah (Raw),77.4 g,85 Kal,5.7 g,0.3 g,15.4 g,1.2 g,180 mg,53 mg,2.7 mg,35 mg,485.7 mg,0.02 mg,1.4 mg,1.15 mg,1.0 mg,10.8 g,,0 mcg,423 mcg,0.08 mg,15 mg
695,CR047,"Lamtoro biji, tua, segar (White leadtree, mature, fresh)",Kacang-Kacangan,Mentah (Raw),61.4 g,148 Kal,10.6 g,0.5 g,26.2 g,1.3 g,155 mg,59 mg,2.2 mg,28 mg,628.5 mg,0.03 mg,2.4 mg,0.49 mg,2.8 mg,17.0 g,,,416 mcg,0.23 mg,20 mg
696,CR048,Lamtoro var. gung tanpa kulit (White leadtree),Kacang-Kacangan,Mentah (Raw),10.2 g,367 Kal,46.4 g,5.4 g,32.5 g,4.4 g,136 mg,441 mg,23.3 mg,65 mg,"1,462.3 mg",0.07 mg,5.6 mg,1.15 mg,1.0 mg,2.6 g,,,"18,900 mcg",0.06 mg,9 mg
697,CR049,Lamtoro var. lokal dengan kulit (White leadtree),Kacang-Kacangan,Mentah (Raw),13.5 g,336 Kal,23.8 g,1.2 g,59.7 g,1.8 g,867 mg,321 mg,1.5 mg,134 mg,"1,858.9 mg",0.07 mg,5.4 mg,1.34 mg,0.9 mg,15.4 g,,,321 mcg,0.15 mg,16 mg
698,ER051,"Langsat, segar (Langsat, fresh)",Buah,Mentah (Raw),84.1 g,56 Kal,0.9 g,0.2 g,14.3 g,0.5 g,17 mg,24 mg,1.1 mg,1 mg,232.0 mg,0.09 mg,0.2 mg,0.00 mg,0.8 mg,1.4 g,,,0 mcg,0.07 mg,9 mg
699,DR125,"Lantar, segar",Sayuran,Mentah (Raw),91.2 g,34 Kal,2.2 g,0.3 g,5.5 g,0.8 g,10 mg,58 mg,0.4 mg,3 mg,155.0 mg,0.20 mg,0.4 mg,0.07 mg,0.4 mg,2.9 g,,38 mcg,,0.30 mg,4 mg
700,BP048,Lanting getuk,Umbi Berpati,Olahan (Processed),4.2 g,422 Kal,0.9 g,10.8 g,80.4 g,3.8 g,206 mg,104 mg,3.6 mg,,,,,,,1.4 g,0 mcg,,0 mcg,0.43 mg,0 mg
701,AP078,Lapis legit,Serealia,Olahan (Processed),21.3 g,389 Kal,6.6 g,15.7 g,55.5 g,0.9 g,16 mg,136 mg,1.9 mg,,,,,0.09 mg,3.0 mg,0.5 g,41 mcg,,"1,032 mcg",0.26 mg,0 mg
702,FP053,"Lawar babi, masakan",Daging,Olahan (Processed),68.8 g,174 Kal,17.0 g,10.0 g,3.0 g,1.2 g,61 mg,141 mg,3.0 mg,,,,0.0 mg,,0.0 mg,0.0 g,,0 mcg,,0.10 mg,
703,FP054,"Lawar penyu, masakan",Daging,Olahan (Processed),66.3 g,141 Kal,23.0 g,1.5 g,7.6 g,1.6 g,69 mg,141 mg,6.0 mg,,,,0.0 mg,,0.0 mg,0.0 g,,0 mcg,,0.10 mg,
704,FP055,"Lawara jangang, masakan",Daging,Olahan (Processed),72.4 g,159 Kal,5.0 g,10.9 g,10.1 g,1.6 g,57 mg,107 mg,1.5 mg,400 mg,"2,368.0 mg",0.10 mg,1.0 mg,0.16 mg,,,14 mcg,,,0.25 mg,
705,GP073,Lawara penjah,Ikan/Kerang/Udang dll,Olahan (Processed),64.5 g,207 Kal,7.4 g,15.4 g,9.6 g,2.9 g,114 mg,219 mg,5.9 mg,683 mg,117.0 mg,0.50 mg,0.7 mg,0.04 mg,,,0 mcg,38 mcg,,0.19 mg,14 mg
706,EP005,Ledre pisang,Buah,Olahan (Processed),3.6 g,405 Kal,4.8 g,5.1 g,84.9 g,1.6 g,59 mg,124 mg,2.6 mg,,,,,,,0.4 g,,4 mcg,"7,330 mcg",0.41 mg,0 mg
707,DP040,Lema/ Rebung asam,Sayuran,Olahan (Processed),96.3 g,15 Kal,1.0 g,0.4 g,1.9 g,0.4 g,17 mg,230 mg,2.9 mg,3 mg,156.0 mg,0.10 mg,0.7 mg,0.00 mg,,,,,,0.30 mg,
708,KR003,"Lemak babi  (lard) (pork, fat, lord)",Minyak/Lemak,Mentah (Raw),0.0 g,902 Kal,0.0 g,100.0 g,0.0 g,0.0 g,0 mg,0 mg,0.0 mg,0 mg,0.0 mg,9.00 mg,0.1 mg,0.00 mg,0.0 mg,0.0 g,0 mcg,0 mcg,,0.00 mg,0 mg
709,KR004,"Lemak babi (bacon) (pork, fat, bacon)",Minyak/Lemak,Mentah (Raw),20.0 g,626 Kal,9.1 g,65.0 g,1.1 g,4.8 g,13 mg,108 mg,0.8 mg,0 mg,0.0 mg,0.00 mg,0.9 mg,0.00 mg,0.0 mg,0.0 g,0 mcg,0 mcg,,0.38 mg,0 mg
710,KR005,"Lemak ikan (Fish, fat)",Minyak/Lemak,Mentah (Raw),43.3 g,372 Kal,12.0 g,29.4 g,14.4 g,0.3 g,20 mg,230 mg,32.7 mg,60 mg,52.0 mg,0.40 mg,1.1 mg,0.13 mg,,0.0 g,,,,0.49 mg,
711,KR006,"Lemak kerbau (lemak sapi) (fat, buffalo)",Minyak/Lemak,Mentah (Raw),5.0 g,818 Kal,1.5 g,90.0 g,0.0 g,3.5 g,0 mg,0 mg,0.0 mg,29 mg,25.8 mg,0.00 mg,0.0 mg,0.00 mg,0.7 mg,0.0 g,0 mcg,283 mcg,,0.00 mg,0 mg
712,ER052,"Lemon, segar (Lemon, fresh)",Buah,Mentah (Raw),92.2 g,34 Kal,0.5 g,0.8 g,6.2 g,0.3 g,23 mg,20 mg,0.3 mg,31 mg,140.0 mg,0.10 mg,0.2 mg,0.12 mg,0.3 mg,0.1 g,,0 mcg,,0.09 mg,50 mg
713,EP006,Lempog durian,Buah,Olahan (Processed),25.2 g,320 Kal,3.5 g,5.7 g,63.7 g,1.9 g,190 mg,93 mg,2.5 mg,,,,,0.04 mg,,4.9 g,,,,0.05 mg,
714,BR017,Lepok/Ubi rumput,Umbi Berpati,Mentah (Raw),55.3 g,181 Kal,2.8 g,1.2 g,39.8 g,0.9 g,7 mg,50 mg,3.1 mg,116 mg,306.0 mg,1.60 mg,0.9 mg,0.05 mg,1.5 mg,10.7 g,0 mcg,0 mcg,0 mcg,0.28 mg,0 mg
715,DP041,Lilin bungkus gedi,Sayuran,Olahan (Processed),84.8 g,79 Kal,2.3 g,5.2 g,5.8 g,1.9 g,170 mg,70 mg,0.9 mg,170 mg,50.0 mg,0.20 mg,0.8 mg,0.10 mg,0.0 mg,2.5 g,,,,0.20 mg,18 mg
716,DR126,"Lobak, segar (Turnip, fresh)",Sayuran,Mentah (Raw),94.1 g,21 Kal,0.9 g,0.1 g,4.2 g,0.7 g,35 mg,26 mg,0.6 mg,49 mg,109.3 mg,0.03 mg,0.2 mg,0.04 mg,0.3 mg,1.4 g,,0 mcg,10 mcg,0.03 mg,32 mg
717,EP007,Loka anjoro,Buah,Olahan (Processed),63.3 g,163 Kal,1.1 g,4.3 g,30.0 g,1.3 g,,,,,,,,,,,,,,,
718,GR078,"Lokan, segar",Ikan/Kerang/Udang dll,Mentah (Raw),80.9 g,217 Kal,11.0 g,1.7 g,5.1 g,1.3 g,20 mg,390 mg,10.9 mg,3 mg,7.0 mg,0.20 mg,2.7 mg,0.07 mg,,,,,,0.45 mg,
719,ER053,"Lontar, segar (Palmyra palm, fresh)",Buah,Mentah (Raw),93.0 g,27 Kal,0.4 g,0.2 g,6.0 g,0.4 g,91 mg,243 mg,0.5 mg,,,,,,,1.6 g,,,,0.03 mg,
720,DR127,"Lumai/Leunca, segar (Glossy nightshade, fresh)",Sayuran,Mentah (Raw),90.5 g,38 Kal,1.1 g,0.3 g,7.6 g,0.5 g,7 mg,55 mg,1.0 mg,2 mg,,0.10 mg,0.3 mg,0.10 mg,0.6 mg,2.0 g,,25 mcg,,0.20 mg,17 mg
721,AP079,Lupis ketan,Serealia,Olahan (Processed),61.0 g,164 Kal,1.8 g,2.1 g,34.5 g,0.6 g,119 mg,31 mg,1.5 mg,,,,,0.00 mg,0.2 mg,0.7 g,0 mcg,,0 mcg,0.09 mg,0 mg
722,MP010,Madu (Honey),Konfeksioneri,Olahan (Processed),20.0 g,294 Kal,0.3 g,0.0 g,79.5 g,0.2 g,5 mg,16 mg,0.9 mg,6 mg,26.9 mg,0.04 mg,0.2 mg,0.04 mg,0.1 mg,0.2 g,0 mcg,0 mcg,,0.00 mg,4 mg
723,AP019,"Maizena, tepung",Serealia,Olahan (Processed),14.0 g,341 Kal,0.3 g,0.0 g,85.0 g,0.7 g,20 mg,30 mg,1.5 mg,6 mg,9.0 mg,0.22 mg,1.6 mg,0.09 mg,1.3 mg,7.0 g,0 mcg,0 mcg,0 mcg,0.00 mg,0 mg
724,AP020,"Makaroni, mentah",Serealia,Olahan (Processed),11.7 g,353 Kal,8.7 g,0.4 g,78.7 g,2.5 g,20 mg,80 mg,0.3 mg,5 mg,0.0 mg,0.28 mg,1.4 mg,0.13 mg,2.2 mg,4.9 g,,,0 mcg,0.10 mg,0 mg
725,AP080,Manan samin,Serealia,Olahan (Processed),27.1 g,379 Kal,3.4 g,18.1 g,50.6 g,0.8 g,,,,,,,,,,,,,,,
726,ER055,"Mangga benggala, segar (Mango, benggala, fresh)",Buah,Mentah (Raw),84.4 g,63 Kal,2.4 g,0.4 g,12.4 g,0.4 g,9 mg,13 mg,0.2 mg,3 mg,79.0 mg,0.10 mg,0.1 mg,0.01 mg,0.4 mg,5.8 g,,10 mcg,,0.18 mg,43 mg
727,ER056,"Mangga gedung, segar (Mango, gedung, fresh)",Buah,Mentah (Raw),87.4 g,44 Kal,0.7 g,0.2 g,11.2 g,0.5 g,13 mg,10 mg,0.2 mg,2 mg,83.6 mg,0.04 mg,0.1 mg,0.01 mg,0.3 mg,1.6 g,,113 mcg,"16,400 mcg",0.08 mg,30 mg
728,ER057,"Mangga golek, segar (Mango, golek, fresh)",Buah,Mentah (Raw),82.2 g,63 Kal,0.5 g,0.2 g,16.7 g,0.4 g,14 mg,10 mg,0.7 mg,3 mg,118.1 mg,0.05 mg,0.1 mg,0.02 mg,0.4 mg,2.3 g,,160 mcg,"3,715 mcg",0.08 mg,65 mg
729,ER058,"Mangga harumanis, segar (Mango, harumanis, fresh)",Buah,Mentah (Raw),86.6 g,46 Kal,0.4 g,0.2 g,11.9 g,0.8 g,15 mg,9 mg,0.2 mg,2 mg,88.9 mg,0.04 mg,0.1 mg,0.01 mg,0.3 mg,1.7 g,,120 mcg,"1,200 mcg",0.08 mg,6 mg
730,ER059,"Mangga indramayu, segar (Mango, indramayu, fresh)",Buah,Mentah (Raw),80.2 g,72 Kal,0.8 g,0.2 g,18.7 g,0.1 g,13 mg,10 mg,1.9 mg,3 mg,131.4 mg,0.06 mg,0.1 mg,0.02 mg,0.5 mg,2.5 g,,178 mcg,"2,900 mcg",0.06 mg,16 mg
731,ER060,"Mangga kopek, segar (Mango, kopek, fresh)",Buah,Mentah (Raw),84.5 g,56 Kal,0.4 g,0.2 g,14.6 g,0.3 g,16 mg,10 mg,1.7 mg,2 mg,102.9 mg,0.04 mg,0.1 mg,0.01 mg,0.4 mg,2.0 g,,139 mcg,"6,520 mcg",0.03 mg,27 mg
732,ER061,"Mangga kwini, segar (Mango, kwini, fresh)",Buah,Mentah (Raw),78.6 g,86 Kal,0.7 g,0.5 g,19.8 g,0.4 g,11 mg,11 mg,0.2 mg,1 mg,16.0 mg,0.10 mg,0.1 mg,0.02 mg,0.5 mg,6.5 g,,932 mcg,,0.15 mg,18 mg
733,ER062,"Mangga manalagi, segar (Mango, manalagi, fresh)",Buah,Mentah (Raw),66.5 g,133 Kal,1.0 g,0.1 g,32.1 g,0.3 g,20 mg,23 mg,1.0 mg,70 mg,161.0 mg,0.00 mg,0.0 mg,0.00 mg,0.6 mg,11.8 g,0 mcg,4 mcg,,0.07 mg,61 mg
734,ER063,"Mangga muda, segar (Mango, unripe, fresh)",Buah,Mentah (Raw),83.7 g,59 Kal,0.5 g,0.4 g,15.1 g,0.3 g,12 mg,11 mg,0.4 mg,2 mg,108.2 mg,0.05 mg,0.1 mg,0.02 mg,0.4 mg,,,146 mcg,85 mcg,0.06 mg,2 mg
735,ER054,"Mangga, segar (Mango, fresh)",Buah,Mentah (Raw),86.6 g,52 Kal,0.7 g,0.0 g,12.3 g,0.2 g,20 mg,16 mg,1.0 mg,3 mg,140.0 mg,0.33 mg,0.0 mg,0.01 mg,0.3 mg,1.6 g,,316 mcg,,0.03 mg,12 mg
736,ER064,"Manggis, segar (Mangosteen, fresh)",Buah,Mentah (Raw),83.0 g,63 Kal,0.6 g,0.6 g,15.6 g,0.2 g,8 mg,12 mg,0.8 mg,10 mg,61.9 mg,0.10 mg,0.1 mg,0.03 mg,0.3 mg,1.5 g,,0 mcg,0 mcg,0.03 mg,5 mg
737,KP001,Margarin (Butter),Minyak/Lemak,Olahan (Processed),15.5 g,720 Kal,0.6 g,81.0 g,0.4 g,2.5 g,20 mg,16 mg,0.0 mg,760 mg,25.9 mg,0.00 mg,0.0 mg,0.00 mg,0.0 mg,0.0 g,606 mcg,633 mcg,,0.00 mg,0 mg
738,MP011,Markisa squash,Konfeksioneri,Olahan (Processed),46.7 g,217 Kal,2.5 g,1.0 g,49.6 g,0.2 g,6 mg,83 mg,0.6 mg,14 mg,65.0 mg,0.00 mg,0.1 mg,0.02 mg,0.0 mg,,,23 mcg,75 mcg,0.07 mg,14 mg
739,MP012,"Markisa squash, BD (Squash, markisa)",Konfeksioneri,Olahan (Processed),74.4 g,104 Kal,1.2 g,0.5 g,23.7 g,0.2 g,1 mg,88 mg,0.5 mg,40 mg,40.0 mg,0.00 mg,0.1 mg,0.02 mg,0.0 mg,,,7 mcg,40 mcg,0.20 mg,12 mg
740,ER065,"Markisa, segar (Giant Granadilla, fresh)",Buah,Mentah (Raw),64.7 g,144 Kal,3.5 g,1.2 g,29.8 g,0.8 g,27 mg,203 mg,1.4 mg,37 mg,453.8 mg,0.11 mg,0.1 mg,0.17 mg,2.0 mg,11.4 g,0 mcg,969 mcg,691 mcg,0.02 mg,10 mg
741,AP081,Martabak india,Serealia,Olahan (Processed),65.8 g,153 Kal,4.5 g,4.2 g,24.3 g,1.2 g,14 mg,108 mg,2.4 mg,240 mg,112.0 mg,0.40 mg,0.5 mg,,,,,,,,
742,AP082,Martabak mesir,Serealia,Olahan (Processed),40.2 g,278 Kal,5.1 g,8.6 g,45.0 g,1.1 g,49 mg,168 mg,3.4 mg,193 mg,123.0 mg,0.20 mg,0.9 mg,,,,,,,,
743,AP083,Masekat,Serealia,Olahan (Processed),15.6 g,369 Kal,2.1 g,7.0 g,74.1 g,0.8 g,17 mg,52 mg,0.8 mg,141 mg,12.0 mg,0.40 mg,0.3 mg,,,4.0 g,155 mcg,,,,
744,ER066,"Matoa, segar (Matoa, fresh)",Buah,Mentah (Raw),76.5 g,90 Kal,1.2 g,0.1 g,21.1 g,1.1 g,20 mg,40 mg,0.6 mg,10 mg,190.0 mg,0.30 mg,0.6 mg,0.09 mg,0.5 mg,0.5 g,,2 mcg,,0.18 mg,54 mg
745,MP013,Melase,Konfeksioneri,Olahan (Processed),21.2 g,276 Kal,,0.1 g,71.0 g,7.7 g,6 mg,83 mg,0.6 mg,14 mg,,0.00 mg,0.3 mg,,,0.0 g,0 mcg,0 mcg,,0.04 mg,0 mg
746,CP047,Melinjo emping tebal goreng manis,Kacang-Kacangan,Olahan (Processed),5.6 g,439 Kal,10.0 g,16.4 g,65.7 g,2.3 g,66 mg,225 mg,,,,,,,,,,,0 mcg,0.10 mg,0 mg
747,CP048,"Melinjo emping tebal, goreng asin",Kacang-Kacangan,Olahan (Processed),8.0 g,431 Kal,11.1 g,16.2 g,63.0 g,1.6 g,77 mg,,,,,,,,,,,,0 mcg,0.08 mg,0 mg
748,CP049,Melinjo emping tipis goreng,Kacang-Kacangan,Olahan (Processed),3.3 g,485 Kal,11.5 g,24.5 g,59.1 g,1.5 g,85 mg,218 mg,,,,,,,,,,,0 mcg,0.11 mg,0 mg
749,DR128,"Melinjo, segar (spanish joint fir, fresh)",Sayuran,Mentah (Raw),80.0 g,66 Kal,5.0 g,0.7 g,13.3 g,1.0 g,163 mg,75 mg,2.8 mg,,,,,,,,,,"1,000 mcg",0.10 mg,100 mg
750,ER067,"Melon, segar",Buah,Mentah (Raw),90.8 g,37 Kal,0.6 g,0.4 g,7.8 g,0.5 g,12 mg,14 mg,0.4 mg,27 mg,167.0 mg,0.30 mg,0.1 mg,0.10 mg,0.0 mg,1.0 g,,1 mcg,0 mcg,0.02 mg,0 mg
751,FP008,"Menjangan, daging, dendeng, mentah",Daging,Olahan (Processed),14.3 g,322 Kal,55.8 g,2.0 g,22.7 g,5.3 g,55 mg,310 mg,2.1 mg,765 mg,"1,282.0 mg",1.70 mg,3.2 mg,,,,"3,391 mcg",26 mcg,,,
752,KP002,Mentega (Margarine),Minyak/Lemak,Olahan (Processed),16.0 g,742 Kal,0.5 g,81.6 g,1.4 g,1.9 g,15 mg,16 mg,1.1 mg,653 mg,103.0 mg,0.00 mg,0.4 mg,0.10 mg,0.0 mg,0.0 g,"1,000 mcg",155 mcg,,0.00 mg,
753,ER068,"Menteng, segar (Kepundung, fresh)",Buah,Mentah (Raw),79.0 g,65 Kal,1.7 g,0.3 g,16.1 g,2.9 g,13 mg,20 mg,0.8 mg,,,,,,,,,,0 mcg,0.00 mg,
754,NR023,"Merica, kering (Pepper)",Bumbu,Mentah (Raw),12.9 g,365 Kal,11.5 g,6.8 g,64.4 g,4.4 g,460 mg,200 mg,16.4 mg,4 mg,99.7 mg,0.89 mg,1.1 mg,0.10 mg,2.5 mg,1.0 g,,0 mcg,,0.20 mg,
755,AP021,Mi basah,Serealia,Olahan (Processed),80.0 g,88 Kal,0.6 g,3.3 g,14.0 g,2.1 g,14 mg,13 mg,6.8 mg,63 mg,13.5 mg,0.06 mg,0.4 mg,0.00 mg,0.0 mg,0.1 g,,0 mcg,,0.00 mg,0 mg
756,BP049,Mi golosor,Umbi Berpati,Olahan (Processed),82.9 g,71 Kal,0.2 g,0.8 g,15.9 g,0.2 g,117 mg,5 mg,0.2 mg,,,,,0.02 mg,0.0 mg,0.1 g,0 mcg,,112 mcg,0.05 mg,0 mg
757,AP022,Mi kering,Serealia,Olahan (Processed),10.6 g,339 Kal,10.0 g,1.7 g,6.3 g,1.4 g,31 mg,143 mg,3.9 mg,760 mg,83.0 mg,0.29 mg,1.9 mg,0.08 mg,2.2 mg,0.4 g,,,0 mcg,0.00 mg,0 mg
758,AP084,Mie aceh rebus,Serealia,Olahan (Processed),74.6 g,113 Kal,3.0 g,3.2 g,18.1 g,1.1 g,22 mg,44 mg,1.4 mg,191 mg,36.0 mg,0.20 mg,0.3 mg,0.00 mg,0.0 mg,,0 mcg,0 mcg,,0.00 mg,0 mg
759,AP085,Mie ayam,Serealia,Olahan (Processed),78.6 g,102 Kal,6.2 g,3.9 g,10.5 g,0.8 g,262 mg,51 mg,1.8 mg,279 mg,,,,,0.0 mg,,39 mcg,,166 mcg,0.85 mg,0 mg
760,AP086,Mie bakso,Serealia,Olahan (Processed),74.5 g,114 Kal,5.3 g,3.0 g,16.4 g,0.8 g,286 mg,53 mg,1.9 mg,760 mg,,,,,,0.1 g,17 mcg,,180 mcg,0.16 mg,0 mg
761,BP050,Mie Bendo,Umbi Berpati,Olahan (Processed),11.5 g,353 Kal,0.3 g,0.0 g,88.0 g,0.2 g,28 mg,14 mg,2.8 mg,9 mg,49.2 mg,0.50 mg,0.1 mg,0.00 mg,0.1 mg,2.4 g,,2 mcg,0 mcg,0.02 mg,0 mg
762,AP087,Mie celon,Serealia,Olahan (Processed),75.9 g,102 Kal,3.0 g,2.1 g,17.8 g,1.2 g,12 mg,84 mg,1.4 mg,451 mg,112.0 mg,0.10 mg,0.5 mg,0.00 mg,0.0 mg,,0 mcg,0 mcg,,0.00 mg,0 mg
